customerID,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,churn_risk
2656-TABEH,4,Month-to-month,Fiber optic,Electronic check,100.2,0.85959625
3389-YGYAI,8,Month-to-month,Fiber optic,Electronic check,105.5,0.85936445
3296-SILRA,1,Month-to-month,Fiber optic,Mailed check,76.4,0.8583287
5299-SJCZT,3,Month-to-month,Fiber optic,Bank transfer (automatic),101.55,0.85709727
7503-ZGUZJ,1,Month-to-month,Fiber optic,Mailed check,84.65,0.8562422
9725-SCPZG,1,Month-to-month,Fiber optic,Electronic check,90.85,0.8558644
5150-ITWWB,3,Month-to-month,Fiber optic,Electronic check,94.85,0.85526425
1143-NMNQJ,2,Month-to-month,Fiber optic,Electronic check,85.7,0.8547461
6857-VWJDT,1,Month-to-month,Fiber optic,Mailed check,95.65,0.85474145
4614-NUVZD,1,Month-to-month,Fiber optic,Electronic check,81.1,0.854608
2004-OCQXK,1,Month-to-month,Fiber optic,Electronic check,81.95,0.854608
4806-HIPDW,1,Month-to-month,Fiber optic,Electronic check,68.95,0.8544466
5277-ZLOOR,2,Month-to-month,Fiber optic,Electronic check,85.55,0.8540244
5597-GLBUC,1,Month-to-month,Fiber optic,Electronic check,85.45,0.85317856
7450-NWRTR,12,Month-to-month,Fiber optic,Electronic check,99.45,0.8531417
2982-IHMFT,1,Month-to-month,Fiber optic,Mailed check,74.45,0.852538
0742-NXBGR,1,Month-to-month,Fiber optic,Electronic check,82.3,0.8502961
4844-JJWUY,1,Month-to-month,Fiber optic,Electronic check,86.0,0.8493378
7903-CMPEY,1,Month-to-month,Fiber optic,Electronic check,80.3,0.8492015
8161-QYMTT,7,Month-to-month,Fiber optic,Electronic check,94.1,0.8488114
0655-RBDUG,7,Month-to-month,Fiber optic,Bank transfer (automatic),98.05,0.8476165
7180-PISOG,1,Month-to-month,Fiber optic,Electronic check,74.5,0.84744036
0318-QUUOB,1,Month-to-month,Fiber optic,Electronic check,80.55,0.84741896
0488-GSLFR,1,Month-to-month,Fiber optic,Electronic check,69.5,0.8470196
7660-HDPJV,1,Month-to-month,Fiber optic,Electronic check,69.2,0.8470196
7665-TOALD,1,Month-to-month,Fiber optic,Electronic check,69.6,0.8470196
9728-FTTVZ,1,Month-to-month,Fiber optic,Electronic check,69.2,0.8470196
4750-ZRXIU,4,Month-to-month,Fiber optic,Electronic check,84.6,0.84692866
4626-GYCZP,7,Month-to-month,Fiber optic,Electronic check,93.85,0.8468809
1447-GIQMR,1,Month-to-month,Fiber optic,Electronic check,69.15,0.84645
7439-DKZTW,1,Month-to-month,Fiber optic,Electronic check,80.55,0.8459274
4550-EVXNY,1,Month-to-month,Fiber optic,Electronic check,69.65,0.8453254
2202-CUYXZ,1,Month-to-month,Fiber optic,Electronic check,84.85,0.84512496
2265-CYWIV,4,Month-to-month,Fiber optic,Electronic check,99.6,0.8450119
6416-TVAIH,1,Month-to-month,Fiber optic,Electronic check,68.5,0.8447506
7526-BEZQB,12,Month-to-month,Fiber optic,Electronic check,96.05,0.8444898
9507-EXLTT,1,Month-to-month,Fiber optic,Bank transfer (automatic),79.35,0.8418105
6688-UZPWD,11,Month-to-month,Fiber optic,Electronic check,102.0,0.8414111
3489-HHPFY,2,Month-to-month,Fiber optic,Electronic check,84.05,0.8413733
1450-GALXR,10,Month-to-month,Fiber optic,Electronic check,98.5,0.84097815
2660-EMUBI,10,Month-to-month,Fiber optic,Electronic check,95.35,0.8409035
9605-WGJVW,1,Month-to-month,Fiber optic,Electronic check,70.2,0.84010476
9488-HGMJH,1,Month-to-month,Fiber optic,Electronic check,71.15,0.84010476
8051-HJRLT,1,Month-to-month,Fiber optic,Electronic check,70.55,0.84010476
1846-XWOQN,1,Month-to-month,Fiber optic,Electronic check,70.15,0.84010476
5550-VFRLC,1,Month-to-month,Fiber optic,Electronic check,69.85,0.84010476
3878-AVSOQ,1,Month-to-month,Fiber optic,Electronic check,71.25,0.84010476
8000-REIQB,1,Month-to-month,Fiber optic,Electronic check,69.95,0.84010476
1273-MTETI,4,Month-to-month,Fiber optic,Electronic check,88.85,0.8398436
0259-GBZSH,2,Month-to-month,Fiber optic,Electronic check,85.65,0.8398339
8372-JUXUI,1,Month-to-month,Fiber optic,Electronic check,74.35,0.83972305
0196-VULGZ,6,Month-to-month,Fiber optic,Electronic check,84.35,0.8395866
6457-USBER,1,Month-to-month,Fiber optic,Electronic check,80.8,0.8395618
1363-TXLSL,1,Month-to-month,Fiber optic,Electronic check,70.3,0.83951414
5052-PNLOS,3,Month-to-month,Fiber optic,Bank transfer (automatic),105.35,0.8387152
6457-GIRWB,1,Month-to-month,Fiber optic,Electronic check,69.35,0.83869207
3716-BDVDB,1,Month-to-month,Fiber optic,Electronic check,69.1,0.83869207
6502-MJQAE,1,Month-to-month,Fiber optic,Electronic check,69.6,0.83869207
7254-IQWOZ,1,Month-to-month,Fiber optic,Electronic check,69.65,0.83869207
3428-XZMAZ,1,Month-to-month,Fiber optic,Electronic check,69.35,0.83869207
1820-TQVEV,1,Month-to-month,Fiber optic,Electronic check,69.55,0.83869207
2982-VPSGI,11,Month-to-month,Fiber optic,Electronic check,94.0,0.8384198
6474-FVJLC,2,Month-to-month,Fiber optic,Electronic check,86.0,0.8384076
7943-RQCHR,9,Month-to-month,Fiber optic,Electronic check,94.75,0.8380722
2462-XIIJB,5,Month-to-month,Fiber optic,Electronic check,92.5,0.837692
3027-ZTDHO,1,Month-to-month,Fiber optic,Electronic check,89.9,0.83736336
0970-ETWGE,1,Month-to-month,Fiber optic,Electronic check,89.55,0.83736336
6960-HVYXR,1,Month-to-month,Fiber optic,Electronic check,76.0,0.8355193
6996-KNSML,1,Month-to-month,Fiber optic,Electronic check,74.9,0.83452344
5519-NPHVG,12,Month-to-month,Fiber optic,Electronic check,94.2,0.8336063
1977-STDKI,1,Month-to-month,Fiber optic,Electronic check,73.0,0.8331229
5380-AFSSK,5,Month-to-month,Fiber optic,Mailed check,93.9,0.83231074
8775-ERLNB,1,Month-to-month,Fiber optic,Electronic check,74.3,0.8321774
9019-QVLZD,1,Month-to-month,Fiber optic,Electronic check,79.55,0.831934
6356-ELRKD,1,Month-to-month,Fiber optic,Electronic check,95.6,0.83184856
9603-OAIHC,1,Month-to-month,Fiber optic,Electronic check,70.05,0.8314756
8644-XLFBW,1,Month-to-month,Fiber optic,Electronic check,71.65,0.8314756
0637-KVDLV,2,Month-to-month,Fiber optic,Electronic check,76.5,0.83143127
1618-CFHME,2,Month-to-month,Fiber optic,Electronic check,75.9,0.83143127
1455-ESIQH,1,Month-to-month,Fiber optic,Electronic check,89.1,0.8305553
3722-WPXTK,1,Month-to-month,Fiber optic,Electronic check,88.35,0.8305553
7577-SWIFR,1,Month-to-month,Fiber optic,Electronic check,89.25,0.8305553
0564-JJHGS,9,Month-to-month,Fiber optic,Electronic check,95.5,0.8302271
1628-BIZYP,1,Month-to-month,Fiber optic,Electronic check,85.0,0.8301747
8972-HJWNV,7,Month-to-month,Fiber optic,Electronic check,84.55,0.83014953
7409-KIUTL,1,Month-to-month,Fiber optic,Electronic check,71.0,0.82822007
3902-FOIGH,12,Month-to-month,Fiber optic,Electronic check,101.35,0.8277719
2754-SDJRD,8,Month-to-month,Fiber optic,Credit card (automatic),100.15,0.82758886
9399-APLBT,1,Month-to-month,Fiber optic,Electronic check,74.7,0.8268476
8779-QRDMV,1,Month-to-month,DSL,Electronic check,39.65,0.8264908
7294-TMAOP,1,Month-to-month,Fiber optic,Electronic check,90.55,0.8264429
5797-APWZC,1,Month-to-month,Fiber optic,Electronic check,90.6,0.8264429
2865-TCHJW,4,Month-to-month,Fiber optic,Electronic check,89.2,0.82621413
5134-IKDAY,1,Month-to-month,Fiber optic,Electronic check,69.8,0.82609427
